,Unnamed: 0,abstract,author,date,headline,section,source,word_count,id,candidate
29553,29553,"How many of these younger and/or better-educated women are going to identify with Ann Romney's father-knows-best description of life in chez Romney? I understand that the candidate badly needs humanizing but, especially for general-election purposes, it would be more powerful to combine the family story with examples, assuming they exist, about Workplace Mitt promoting women or adopting family-friendly policies.\n","Marcus, Ruth",2012-04-11,This is not a wifely duty,EDITORIAL-OPINION,Washington Post,749.0,29553,Romney
29560,29560,"Former candidates often turn to the winner of the party's nomination for help with retiring debt, assistance that former Minnesota governor Tim Pawlenty has received from presumptive Republican nominee Mitt Romney.","Farnam, T W",2012-05-21,Republican also-rans list debts in new filings,A-SECTION,Washington Post,472.0,29560,Romney
29563,29563,"Fewer voters place great significance on other issues that have roiled the race, including the newly minted GOP vice-presidential candidate's plan to restructure Medicare, differences between the parties on women's issues and Romney's handling of his tax returns.","Balz, Dan; Cohen, Jon",2012-08-27,Race is even as parties convene,A-SECTION,Washington Post,2745.0,29563,Romney
29569,29569,"Both responded to criticism leveled by former president Bill Clinton that Republican budget ""arithmetic"" - including cuts in tax rates for the rich and increased defense spending - cannot work without elimination of big middle-class tax advantages such as the mortgage interest deduction.","Turque, Bill",2012-09-10,Romney says he'd keep some parts of health law,A-SECTION,Washington Post,1010.0,29569,Romney
29577,29577,"Layer on the public proclamations of one of those candidates, former senator Rick Santorum (Pa.), who has pulled ahead of the presumptive front-runner, former Massachusetts governor Mitt Romney, in several national polls.","Gerhart, Ann",2012-02-21,Pill fight pops up again,STYLE,Washington Post,1462.0,29577,Romney
29583,29583,"The president is raising money for a joint fundraising account with the Democratic National Committee, allowing donors to write a single large check that is then divvied up between his reelection campaign and the DNC.","Cillizza, Chris",2011-07-07,Romney campaign raises more than $18 million,A-SECTION,Washington Post,468.0,29583,Romney
29586,29586,Mitt Romney has been battered by a series of opponents - really by the series of millionaire Republican PAC donors who splurged on negative ads against him. Romney himself has sometimes sounded like a millionaire Republican businessman - not a stretch for him - with a luxury car buyer's interest in Detroit and a team owner's interest in NASCAR.,"Gerson, Michael",2012-03-06,"Romney isn't done, yet",EDITORIAL-OPINION,Washington Post,755.0,29586,Romney
29590,29590,"A group of prominent Mitt Romney backers has quietly started a ""super PAC"" to raise and spend unlimited amounts of money in support of his bid for the Republican presidential nomination, according to organizers and others involved in the effort.","Eggen, Dan; Cillizza, Chris",2011-06-24,Romney supporters start 'super PAC' for donations,A-SECTION,Washington Post,809.0,29590,Romney
29608,29608,"The two presidential front-runners sharpened their messages here Saturday before hundreds of party leaders and donors, while in Florida, former Godfather's Pizza executive Herman Cain upset them both by winning a closely watched straw poll in a display of conservative activist enthusiasm. [...] in a long-fluid contest that is settling as a two-man battle for the soul of the party, Perry and Romney put their contrasting styles and ideas to the test on this tony and remote island where 1,200 party leaders gathered for the biennial Mackinac Republican Leadership Conference.","Rucker, Philip; Eggen, Dan",2011-09-25,"Perry, Romney hit the fundraising trail",A-SECTION,Washington Post,1193.0,29608,Romney
29611,29611,"In a series of speeches and media appearances since dropping out of the presidential race in mid-January, Huntsman has repeatedly criticized not just the broader GOP but also the man he endorsed for president: former Massachusetts governor Mitt Romney.","Weiner, Rachel",2012-04-24,"Jon Huntsman, GOP antagonist",A-SECTION,Washington Post,432.0,29611,Romney
29612,29612,"Romney remains a clear favorite because of his strength in the Mormon community; according to the Pew Forum on Religion and Public Life, Mormons make up 11 percent of Nevada's population, but in the state's 2008 GOP caucuses they accounted for about a quarter of the votes cast.","Cillizza, Chris",2011-04-11,Will Nevada get its due in the 2012 GOP race?,A-SECTION,Washington Post,769.0,29612,Romney
29619,29619,"The two presidential front-runners sharpened their messages here Saturday before hundreds of party leaders and donors, while in Florida, former Godfather's Pizza executive Herman Cain upset them both by winning a closely watched straw poll in a display of conservative activist enthusiasm. [...] in a long-fluid contest that is settling as a two-man battle for the soul of the party, Perry and Romney put their contrasting styles and ideas to the test on this tony and remote island where 1,200 party leaders gathered for the biennial Mackinac Republican Leadership Conference.","Rucker, Philip; Eggen, Dan",2011-09-25,"Perry, Romney hit the fundraising trail",A-SECTION,Washington Post,1193.0,29619,Romney
29622,29622,"[...] we've seen former Massachusetts governor Mitt Romney unlearn the evident principle that everyone should have health insurance and former Minnesota governor Tim Pawlenty apologize for his earlier support of sensible,market-based solutions for global warming.",Anonymous,2011-05-24,Mr. Daniels stays home,A-SECTION,Washington Post,520.0,29622,Romney
29634,29634,"Romney knows that, by substantial margins, the country favors raising taxes on the rich and opposes slashing many government programs, including Medicare and Social Security. Since Romney's actual plan calls for cutting taxes on the rich, he has to disguise the fact.","Dionne, EJ",2012-10-25,Turn out the lights: The tea party is over,EDITORIAL-OPINION,Washington Post,749.0,29634,Romney
29642,29642,"The tight margin in what is expected to be a major swing state at the presidential level next year is drawing many boldface political names - including former Massachusetts governor Mitt Romney, who rallied voters in Fairfax County last week.","Cillizza, Chris",2011-10-31,"As Election Day 2012 looms large, races to watch in 2011",A-SECTION,Washington Post,645.0,29642,Romney
29653,29653,"When he winds up as the Republican nominee, it's likely to be that story that takes over - how Romney won the GOP nomination without bowing too much to the conservative base and how he is a stronger-than-expected general election candidate. -","Cillizza, Chris",2012-03-28,Five signs of an impending race,A-SECTION,Washington Post,422.0,29653,Romney
29655,29655,"In a series of speeches and media appearances since dropping out of the presidential race in mid-January, Huntsman has repeatedly criticized not just the broader GOP but also the man he endorsed for president: former Massachusetts governor Mitt Romney.","Weiner, Rachel",2012-04-24,"Jon Huntsman, GOP antagonist",A-SECTION,Washington Post,432.0,29655,Romney
29666,29666,"In January, for example, former House speaker Newt Gingrich sought to distance himself from a series of ads, attacking Romney as a former corporate raider, that were funded by Winning Our Future, a pro-Gingrich super PAC funded by $11 million in contributions from a Las Vegas casino magnate and his family.","Eggen, Dan",2012-02-18,'Aspirin' joke shows risk outside groups pose to candidates,A-SECTION,Washington Post,992.0,29666,Romney
29686,29686,"Unlike earlier primaries in New Hampshire and South Carolina, Florida's contest was open only to registered Republicans; about seven in 10 voters identified themselves as somewhat or very conservative, according to exit polls. The size and breadth of Romney's win provide the first real evidence that he has the potential to coalesce a party that has been deeply split between its establishment wing, which backs him, and the insurgent forces of the tea party movement, which have been suspicious of his moderate record.","Tumulty, Karen",2012-02-01,Passing a crucial test among conservatives,A-SECTION,Washington Post,902.0,29686,Romney
29714,29714,A Tom Toles editorial cartoon mocks the indecision within the Republican Party about backing Mitt Romney as its 2012 presidential candidate.,"Toles, Tom",2012-01-05,Editorial cartoon,,Washington Post,,29714,Romney
